icon,name
Ammo_Reservation_Potion.webp,https://terraria.fandom.com/wiki/Ammo_Reservation_Potion
Archery_Potion.webp,https://terraria.fandom.com/wiki/Archery_Potion
Battle_Potion.webp,https://terraria.fandom.com/wiki/Battle_Potion
Biome_Sight_Potion.webp,https://terraria.fandom.com/wiki/Biome_Sight_Potion
Builder_Potion.webp,https://terraria.fandom.com/wiki/Builder_Potion
Calming_Potion.webp,https://terraria.fandom.com/wiki/Calming_Potion
Crate_Potion.webp,https://terraria.fandom.com/wiki/Crate_Potion
Dangersense_Potion.webp,https://terraria.fandom.com/wiki/Dangersense_Potion
Endurance_Potion.webp,https://terraria.fandom.com/wiki/Endurance_Potion
Featherfall_Potion.webp,https://terraria.fandom.com/wiki/Featherfall_Potion
Fishing_Potion.webp,https://terraria.fandom.com/wiki/Fishing_Potion
Flipper_Potion.webp,https://terraria.fandom.com/wiki/Flipper_Potion
Gills_Potion.webp,https://terraria.fandom.com/wiki/Gills_Potion
Gravitation_Potion.webp,https://terraria.fandom.com/wiki/Gravitation_Potion
Greater_Luck_Potion.webp,https://terraria.fandom.com/wiki/Greater_Luck_Potion
Heartreach_Potion.webp,https://terraria.fandom.com/wiki/Heartreach_Potion
Hunter_Potion.webp,https://terraria.fandom.com/wiki/Hunter_Potion
Inferno_Potion.webp,https://terraria.fandom.com/wiki/Inferno_Potion
Invisibility_Potion.webp,https://terraria.fandom.com/wiki/Invisibility_Potion
Ironskin_Potion.webp,https://terraria.fandom.com/wiki/Ironskin_Potion
Lesser_Luck_Potion.webp,https://terraria.fandom.com/wiki/Lesser_Luck_Potion
Lifeforce_Potion.webp,https://terraria.fandom.com/wiki/Lifeforce_Potion
Love_Potion.webp,https://terraria.fandom.com/wiki/Love_Potion
Luck_Potion.webp,https://terraria.fandom.com/wiki/Luck_Potion
Magic_Power_Potion.webp,https://terraria.fandom.com/wiki/Magic_Power_Potion
Mana_Regeneration_Potion.webp,https://terraria.fandom.com/wiki/Mana_Regeneration_Potion
Mining_Potion.webp,https://terraria.fandom.com/wiki/Mining_Potion
Night_Owl_Potion.webp,https://terraria.fandom.com/wiki/Night_Owl_Potion
Obsidian_Skin_Potion.webp,https://terraria.fandom.com/wiki/Obsidian_Skin_Potion
Rage_Potion.webp,https://terraria.fandom.com/wiki/Rage_Potion
Regeneration_Potion.webp,https://terraria.fandom.com/wiki/Regeneration_Potion
Shine_Potion.webp,https://terraria.fandom.com/wiki/Shine_Potion
Sonar_Potion.webp,https://terraria.fandom.com/wiki/Sonar_Potion
Sonar_Potion%201.webp,https://terraria.fandom.com/wiki/Spelunker_Potion
Spelunker_Potion.webp,https://terraria.fandom.com/wiki/Stink_Potion
Stink_Potion.webp,https://terraria.fandom.com/wiki/Summoning_Potion
Swiftness_Potion.webp,https://terraria.fandom.com/wiki/Swiftness_Potion
Thorns_Potion.webp,https://terraria.fandom.com/wiki/Thorns_Potion
Titan_Potion.webp,https://terraria.fandom.com/wiki/Titan_Potion
Warmth_Potion.webp,https://terraria.fandom.com/wiki/Warmth_Potion
Water_Walking_Potion.webp,https://terraria.fandom.com/wiki/Water_Walking_Potion
Wrath_Potion.webp,https://terraria.fandom.com/wiki/Wrath_Potion
Wiesnbr3Fu.webp,https://terraria.fandom.com/wiki/Wiesnbr%C3%A4u
